abell_id,ra,dec,richness_class,distance_class,bm_type,redshift
Abell 1647,200.74,69.01,1,4,II,0.1652
Abell 1648,356.97,0.67,0,,II-III,0.3281
Abell 1649,335.84,70.34,1,6,I,0.2931
Abell 1650,194.68,-1.76,1,3,I-II,0.0845
Abell 1651,194.83,-4.20,0,4,I-II,0.0840
Abell 1652,209.97,21.50,1,4,III,0.3450
Abell 1653,12.15,-17.13,0,2,I-II,0.3247
Abell 1654,50.49,53.06,2,5,II,0.2314
Abell 1655,168.12,83.01,0,5,II-III,0.3200
Abell 1656,194.95,27.98,2,1,II,0.0231
Abell 1657,30.47,30.72,0,5,,0.1440
Abell 1658,233.96,36.45,0,,I,0.0890
Abell 1659,204.99,21.78,0,6,III,0.1810
Abell 1660,213.11,44.14,3,5,II,0.2179
Abell 1661,204.83,26.11,2,3,,
Abell 1662,280.09,35.94,0,,I-II,0.2967
Abell 1663,161.27,-15.78,1,3,,
Abell 1664,281.34,-4.51,1,6,I,0.2746
Abell 1665,316.36,25.44,3,5,II,
Abell 1666,30.98,7.53,0,5,I,
Abell 1667,156.81,76.07,1,7,III,0.1921
Abell 1668,3.29,40.67,1,3,I-II,0.2909
Abell 1669,251.10,17.75,2,6,II-III,
Abell 1670,221.83,15.01,0,6,III,0.1536
Abell 1671,330.12,82.71,0,5,,
Abell 1672,35.48,58.93,1,4,I-II,0.2533
Abell 1673,23.23,63.46,0,5,I-II,0.3065
Abell 1674,162.19,-16.50,1,3,III,0.0523
Abell 1675,42.24,63.87,0,6,III,0.0558
Abell 1676,302.66,33.90,1,6,III,0.2320
Abell 1677,28.90,76.06,0,5,I-II,
Abell 1678,303.22,70.31,2,2,,0.3188
Abell 1679,103.04,-25.93,2,5,,0.1443
Abell 1680,19.36,69.86,3,5,II-III,0.1220
Abell 1681,343.39,11.59,1,3,I-II,0.0949
Abell 1682,227.46,14.04,0,5,II,
Abell 1683,117.88,5.64,3,,III,0.2456
Abell 1684,9.76,49.00,1,3,I,0.3164
Abell 1685,26.09,3.66,1,3,,0.2493
Abell 1686,69.85,80.20,1,,III,0.0674
Abell 1687,104.72,52.14,0,4,,0.1993
Abell 1688,48.29,-0.37,1,3,I-II,0.0950
Abell 1689,197.87,-1.34,4,5,III,0.1832
Abell 1690,206.88,0.26,1,6,III,0.1612
Abell 1691,269.96,-11.95,0,6,I-II,0.3154
Abell 1692,59.66,60.17,0,5,I,0.2408
Abell 1693,10.77,5.32,1,5,I,0.2352
Abell 1694,198.40,-6.34,2,5,II-III,0.0601
Abell 1695,246.88,-2.27,2,5,II,
Abell 1696,57.56,81.97,2,4,I-II,0.0990
Abell 1697,54.11,37.70,1,4,I,
Abell 1698,21.89,-25.46,2,3,I-II,0.0714
Abell 1699,249.02,23.12,1,5,,0.2659
Abell 1700,254.77,48.92,3,4,II,0.3280
Abell 1701,172.76,80.83,3,6,I-II,0.2352
Abell 1702,268.79,81.75,5,4,,0.1695
Abell 1703,107.88,74.35,1,4,,
Abell 1704,162.74,-21.07,3,5,II-III,0.2409
Abell 1705,21.56,66.04,1,,II-III,0.2228
Abell 1706,258.00,22.22,1,5,II,0.1398
Abell 1707,344.51,86.51,0,5,,0.3403
Abell 1708,268.92,74.16,1,,III,0.0265
Abell 1709,150.21,1.40,1,4,II,
Abell 1710,41.34,7.45,1,6,II-III,0.1673
Abell 1711,303.41,13.89,1,4,,0.0662
Abell 1712,38.87,69.03,0,4,II,0.2207
Abell 1713,46.01,-19.55,2,3,I,0.1811
Abell 1714,204.35,7.66,2,5,I-II,0.0423
Abell 1715,144.01,51.25,2,6,II-III,0.0135
Abell 1716,115.72,70.53,0,6,,
Abell 1717,88.12,39.68,0,2,,0.2586
Abell 1718,242.40,86.88,0,5,,0.2780
Abell 1719,106.60,70.97,0,5,I-II,0.0975
Abell 1720,100.08,83.36,0,3,II,0.1738
Abell 1721,215.31,-20.55,0,4,,
Abell 1722,113.30,63.20,5,6,II,0.1562
Abell 1723,303.88,-20.81,2,5,I,0.1879
Abell 1724,107.67,-4.40,0,5,I-II,0.2519
Abell 1725,139.70,41.29,0,3,II,0.3022
Abell 1726,313.55,32.84,1,6,II,0.0383
Abell 1727,111.57,83.21,0,4,,0.0906
Abell 1728,208.94,81.57,1,1,I,0.1967
Abell 1729,208.52,30.29,0,4,III,0.0616
Abell 1730,31.62,-6.24,0,6,II,0.3270
Abell 1731,346.98,45.95,1,4,,0.0121
Abell 1732,163.18,42.37,0,5,I-II,0.0817
Abell 1733,158.19,-2.67,2,5,I-II,0.0687
Abell 1734,133.16,81.45,1,2,I,0.0961
Abell 1735,220.58,19.47,0,2,,
Abell 1736,201.72,-27.17,1,4,I-II,0.0461
Abell 1737,310.09,21.78,0,6,I,0.0141
Abell 1738,36.47,81.85,0,6,II-III,0.1198
Abell 1739,76.87,67.86,1,4,II-III,0.2803
Abell 1740,318.27,31.96,0,6,II,0.3451
Abell 1741,43.46,25.66,2,5,II-III,0.3296
Abell 1742,280.48,32.96,2,6,II,0.2569
Abell 1743,266.69,10.99,3,2,,0.1818
Abell 1744,63.38,55.55,0,,,0.2954
Abell 1745,65.64,-16.40,1,5,III,0.0218
Abell 1746,270.27,43.24,3,4,I,0.2063
Abell 1747,208.31,23.08,0,6,II-III,0.0553
Abell 1748,333.43,24.62,1,3,I,0.2339
Abell 1749,202.72,37.60,0,5,II-III,0.0580
Abell 1750,79.29,49.47,1,4,I-II,0.0285
Abell 1751,301.53,41.15,0,,I,0.1897
Abell 1752,67.76,69.72,1,5,,0.0466
Abell 1753,60.90,-8.03,1,7,,0.1278
Abell 1754,128.46,16.56,1,7,III,0.0973
Abell 1755,199.93,-25.76,1,6,III,0.2285
Abell 1756,60.83,-3.42,0,7,II,0.1908
Abell 1757,172.30,27.72,2,5,I,0.2187
Abell 1758,339.99,48.99,0,6,II,0.3386
Abell 1759,353.98,41.48,1,3,III,0.2200
Abell 1760,241.21,-1.49,0,4,II,0.1416
Abell 1761,321.87,75.72,1,4,II,0.0524
Abell 1762,259.06,19.32,1,4,III,
Abell 1763,316.13,-9.27,1,6,I,0.1428
Abell 1764,334.02,-11.74,0,6,II,0.0164
Abell 1765,340.00,-22.72,1,2,III,0.1214
Abell 1766,46.18,67.15,0,6,III,0.1401
Abell 1767,204.03,59.21,1,4,II,0.0707
Abell 1768,0.74,79.33,1,4,III,0.3114
Abell 1769,75.55,52.85,2,5,I,0.0960
Abell 1770,69.75,9.51,0,4,I,0.2176
Abell 1771,80.84,23.39,1,4,,0.2678
Abell 1772,120.60,-20.25,0,4,I-II,0.3458
Abell 1773,172.92,-25.47,1,7,I,0.3471
Abell 1774,356.70,36.44,0,,,0.0861
Abell 1775,205.45,26.37,0,3,I,0.0717
Abell 1776,65.26,81.40,1,3,II-III,0.2561
Abell 1777,49.47,31.44,1,6,II-III,0.0624
Abell 1778,316.15,36.56,2,7,II-III,0.1748
Abell 1779,345.97,-0.02,1,6,II,0.1589
Abell 1780,349.89,43.42,1,4,I,0.1138
Abell 1781,36.42,58.27,0,5,I,0.0129
Abell 1782,287.99,81.01,1,6,I,0.1176
Abell 1783,163.56,64.97,0,6,I-II,
Abell 1784,91.21,-16.17,0,6,III,
Abell 1785,171.65,53.64,1,5,II,0.0480
Abell 1786,127.13,-12.24,1,4,II-III,0.1232
Abell 1787,36.10,29.24,0,6,I,
Abell 1788,27.38,44.50,0,5,I,
Abell 1789,323.70,38.44,4,6,II,0.2289
Abell 1790,347.54,13.81,1,5,III,0.0694
Abell 1791,216.12,-20.20,0,5,I,0.2444
Abell 1792,300.67,-0.57,0,3,II-III,
Abell 1793,16.26,66.67,1,5,II-III,0.1346
Abell 1794,14.82,57.97,2,6,I,0.2577
Abell 1795,207.22,26.59,2,4,I,0.0625
Abell 1796,325.25,-15.22,2,6,III,0.2894
Abell 1797,163.57,49.08,0,6,II-III,0.3462
Abell 1798,20.77,83.87,0,,I,0.2498
Abell 1799,139.47,-20.41,2,5,II-III,0.0878
Abell 1800,210.73,71.14,0,4,III,0.2063
Abell 1801,34.07,-14.43,2,5,II-III,0.3223
Abell 1802,44.17,12.56,1,3,I,0.2298
Abell 1803,183.94,40.57,1,6,III,0.1240
Abell 1804,166.04,14.60,1,7,,0.1077
Abell 1805,317.02,76.16,1,7,III,0.2295
Abell 1806,164.44,53.48,1,6,II,
Abell 1807,282.42,30.66,3,4,III,0.0775
Abell 1808,250.83,35.33,0,,III,0.3021
Abell 1809,302.73,52.42,1,5,III,0.2217
Abell 1810,109.83,31.02,1,5,III,0.2298
Abell 1811,31.51,33.05,0,6,,0.3058
Abell 1812,61.92,-9.94,0,5,I-II,0.2432
Abell 1813,282.84,-0.90,1,1,II-III,
Abell 1814,279.37,7.47,1,5,I,
Abell 1815,344.69,70.08,2,5,II,0.1785
Abell 1816,161.33,82.55,0,4,I-II,0.2291
Abell 1817,170.17,57.10,0,5,,0.2340
Abell 1818,85.10,31.19,1,1,II-III,0.0663
Abell 1819,39.03,88.56,1,6,II-III,0.0396
Abell 1820,57.39,-3.65,0,4,II,0.0418
Abell 1821,160.26,20.28,0,6,III,0.2825
Abell 1822,290.11,48.90,0,6,II-III,0.2862
Abell 1823,89.45,-17.24,0,5,,0.1965
Abell 1824,190.20,27.34,1,6,I-II,0.2940
Abell 1825,309.09,17.60,3,3,II-III,0.1158
Abell 1826,281.43,63.19,2,4,II-III,0.1849
Abell 1827,321.78,0.47,1,,II-III,0.2851
Abell 1828,161.47,18.43,1,3,II,0.1546
Abell 1829,284.13,81.01,0,7,III,0.2729
Abell 1830,123.18,48.27,0,6,III,0.0728
Abell 1831,209.78,27.98,1,5,I,0.0627
Abell 1832,136.81,55.83,3,5,I,0.2328
Abell 1833,58.47,69.89,2,7,III,0.2560
Abell 1834,149.40,12.74,0,5,II,0.2788
Abell 1835,185.91,8.14,2,4,I-II,0.3456
Abell 1836,301.69,-14.94,1,,I-II,0.1944
Abell 1837,32.14,-14.85,0,3,I-II,0.0385
Abell 1838,353.51,-3.06,2,6,II,0.3442
Abell 1839,225.46,36.59,2,6,,0.0642
Abell 1840,21.02,-18.10,2,5,II,0.0209
Abell 1841,105.20,87.58,0,6,III,0.1830
Abell 1842,23.94,39.15,1,4,I-II,0.1814
Abell 1843,34.06,32.20,3,2,I-II,0.0195
Abell 1844,122.13,-11.42,0,6,II,0.1171
Abell 1845,91.67,-20.64,2,4,II-III,0.1307
Abell 1846,331.86,31.94,1,5,I,0.0795
Abell 1847,130.15,89.92,4,5,II,0.0465
Abell 1848,19.48,72.92,0,5,,0.2944
Abell 1849,307.35,60.61,2,5,I,0.1030
Abell 1850,137.77,58.46,2,1,I-II,0.2548
Abell 1851,98.77,-0.50,2,6,II-III,0.0650
Abell 1852,283.57,66.58,0,,,
Abell 1853,117.39,39.68,0,3,II-III,
Abell 1854,245.19,62.15,1,7,I-II,0.0873
Abell 1855,108.10,71.62,1,2,II-III,0.3012
Abell 1856,236.91,47.13,0,6,II,0.0779
Abell 1857,316.72,42.66,0,,I-II,0.1352
Abell 1858,240.16,-23.78,3,6,III,0.0243
Abell 1859,44.61,62.58,0,2,II-III,0.1376
Abell 1860,284.04,48.92,1,6,II-III,0.3241
Abell 1861,353.60,48.69,4,5,I-II,0.0467
Abell 1862,88.82,42.82,1,6,,0.2154
Abell 1863,240.90,26.98,2,,II,0.2444
Abell 1864,202.60,-10.97,0,7,I,0.3153
Abell 1865,216.18,-10.50,0,6,I-II,0.0232
Abell 1866,16.16,19.26,1,2,,0.0677
Abell 1867,356.07,74.71,3,5,III,0.3375
Abell 1868,325.80,38.03,0,,I,0.2227
Abell 1869,301.47,19.87,3,7,,
Abell 1870,80.58,44.78,1,7,I,0.2702
Abell 1871,131.71,62.50,1,5,,0.0322
Abell 1872,131.65,67.88,0,6,,
Abell 1873,183.32,86.25,2,4,I,0.3244
Abell 1874,124.95,71.27,0,4,I-II,
Abell 1875,296.93,78.18,0,5,III,0.2862
Abell 1876,277.28,59.74,3,5,II-III,0.0490
Abell 1877,67.90,60.76,3,6,III,0.2258
Abell 1878,32.51,51.11,0,4,II-III,0.3121
Abell 1879,267.57,37.04,2,5,,0.3009
Abell 1880,224.50,79.84,0,3,I-II,0.2199
Abell 1881,46.11,88.22,2,,III,0.1024
Abell 1882,164.17,89.46,0,6,III,0.3433
Abell 1883,280.00,65.68,0,,II-III,0.1522
Abell 1884,268.40,22.32,2,6,II,0.0976
Abell 1885,19.31,44.23,1,,III,0.0862
Abell 1886,85.68,71.74,4,5,I-II,
Abell 1887,353.53,-19.67,1,4,II,
Abell 1888,180.40,38.21,2,3,I-II,
Abell 1889,316.90,-9.54,0,5,I,
Abell 1890,73.05,72.58,0,4,,0.1874
Abell 1891,141.37,-3.03,2,5,,0.1969
Abell 1892,332.62,40.03,2,1,II-III,0.0634
Abell 1893,135.53,27.65,0,7,II-III,
Abell 1894,213.23,77.39,1,4,I,0.3399
Abell 1895,151.24,59.15,1,6,,0.2468
Abell 1896,21.92,37.95,1,4,,0.1080
Abell 1897,280.33,58.33,3,4,I-II,0.1456
Abell 1898,229.23,-19.49,1,,I-II,0.0317
Abell 1899,132.47,43.60,2,7,,0.2223
Abell 1900,328.44,88.06,0,5,II-III,0.1380
Abell 1901,141.54,15.53,1,6,II,0.3322
Abell 1902,15.72,85.75,2,6,III,0.2931
Abell 1903,50.13,81.35,0,6,III,0.2081
Abell 1904,215.56,48.58,0,5,II,0.0708
Abell 1905,140.92,-3.51,3,5,II,0.2351
Abell 1906,64.88,13.40,0,5,II-III,0.0124
Abell 1907,178.72,60.59,0,3,,0.0539
Abell 1908,58.18,77.15,0,,III,0.2055
Abell 1909,9.24,-1.18,2,3,II,0.3342
Abell 1910,92.69,65.35,0,4,II,0.2151
Abell 1911,131.89,71.25,1,2,III,0.1117
Abell 1912,148.37,60.95,0,4,III,0.0891
Abell 1913,229.21,-7.04,3,6,III,0.2653
Abell 1914,216.50,37.83,1,4,I-II,0.1712
Abell 1915,89.81,61.17,2,5,II-III,
Abell 1916,128.30,-13.58,2,4,I,
Abell 1917,257.30,86.09,1,4,III,0.1673
Abell 1918,330.96,79.20,0,5,,0.3301
Abell 1919,312.34,79.16,2,5,III,0.0706
Abell 1920,46.16,32.19,1,7,I-II,
Abell 1921,106.00,67.05,1,6,I-II,0.0236
Abell 1922,84.99,1.27,1,4,,0.0961
Abell 1923,17.37,-18.10,1,6,III,0.3172
Abell 1924,326.41,45.09,1,6,II-III,
Abell 1925,293.47,63.94,0,5,I-II,
Abell 1926,125.59,43.74,0,5,III,0.0523
Abell 1927,355.94,73.42,0,3,,0.2190
Abell 1928,184.55,31.62,0,1,,0.0651
Abell 1929,52.07,-2.70,1,7,II-III,
Abell 1930,40.99,-10.55,1,6,I,
Abell 1931,268.84,71.56,1,4,,0.1693
Abell 1932,174.44,8.86,0,6,III,
Abell 1933,312.17,-13.16,3,6,III,0.1839
Abell 1934,37.29,-15.71,3,4,II-III,0.0701
Abell 1935,354.79,4.51,0,5,II,
Abell 1936,170.35,38.07,1,6,,0.0190
Abell 1937,334.84,-22.86,0,4,II-III,0.3298
Abell 1938,305.87,17.95,2,5,II,0.1902
Abell 1939,230.41,81.90,2,3,II,0.0937
Abell 1940,261.23,87.63,1,1,II-III,0.1369
Abell 1941,97.39,49.83,2,5,III,0.0850
Abell 1942,320.52,-5.57,0,4,II,
Abell 1943,192.35,7.88,0,6,,0.1963
Abell 1944,176.02,88.35,0,6,II-III,0.0527
Abell 1945,264.13,44.11,1,4,III,
Abell 1946,184.57,-18.41,3,5,III,0.1532
Abell 1947,7.99,11.71,1,,I,
Abell 1948,350.09,3.89,0,6,I,0.2637
Abell 1949,343.49,14.91,1,,I,0.0106
Abell 1950,2.01,-8.93,3,2,,0.3061
Abell 1951,8.24,21.30,1,4,,0.1350
Abell 1952,70.08,21.15,2,6,II-III,
Abell 1953,106.81,85.56,0,5,III,0.0793
Abell 1954,117.52,14.66,0,5,III,0.2811
Abell 1955,353.00,68.41,2,3,,0.0712
Abell 1956,315.31,-19.60,0,3,II-III,0.1286
Abell 1957,109.34,-20.98,2,7,III,0.3096
Abell 1958,156.69,33.19,2,5,I-II,0.1235
Abell 1959,88.50,49.08,0,,II,0.1455
Abell 1960,262.81,18.34,1,5,I,0.1731
Abell 1961,291.27,28.21,1,6,I,0.1795
Abell 1962,109.82,83.63,1,,I,0.0197
Abell 1963,203.49,27.10,5,5,II-III,
Abell 1964,136.71,67.26,0,5,II-III,0.0799
Abell 1965,49.81,0.10,0,3,II,0.3185
Abell 1966,263.66,39.23,0,5,III,
Abell 1967,23.39,37.30,0,3,III,0.2733
Abell 1968,220.45,41.85,1,6,I-II,
Abell 1969,222.19,81.35,1,,,0.1168
Abell 1970,168.17,70.62,0,5,,0.3323
Abell 1971,245.01,34.33,1,2,II,0.1812
Abell 1972,357.17,-25.43,0,4,II-III,0.2758
Abell 1973,204.48,48.63,1,6,II,0.0541
Abell 1974,154.91,28.93,1,,I-II,
Abell 1975,205.80,40.37,1,2,II,0.3410
Abell 1976,275.24,24.46,1,4,II,0.2517
Abell 1977,149.56,-22.94,0,6,I-II,0.0987
Abell 1978,311.07,-20.09,2,6,,0.3132
Abell 1979,213.12,-19.79,0,,II-III,0.1263
Abell 1980,164.85,-5.20,2,6,II,0.0312
Abell 1981,142.01,84.17,0,6,II,0.2094
Abell 1982,285.44,58.82,3,6,II,0.3089
Abell 1983,222.88,16.70,0,5,III,0.0440
Abell 1984,236.63,49.92,2,4,I,0.2014
Abell 1985,14.00,15.65,2,4,II-III,0.3187
Abell 1986,146.82,40.22,1,4,II,0.2170
Abell 1987,74.48,-7.67,1,4,II,0.3487
Abell 1988,354.33,-17.74,0,6,,0.2314
Abell 1989,187.31,59.85,0,6,I,0.1259
Abell 1990,162.69,-18.75,0,5,II-III,0.2523
Abell 1991,321.98,2.87,1,2,II-III,0.1574
Abell 1992,267.01,87.03,1,5,II,
Abell 1993,350.85,-12.83,4,4,I,0.1470
Abell 1994,228.98,40.75,1,3,,0.1257
Abell 1995,303.23,-20.93,2,4,II,0.0185
Abell 1996,111.92,89.32,5,5,II,0.1716
Abell 1997,208.04,-10.36,1,,II-III,0.2623
Abell 1998,166.63,84.45,1,5,,0.1688
Abell 1999,266.24,87.64,1,6,II,0.0264
Abell 2000,183.86,9.66,2,5,I,0.2489
Abell 2001,342.56,39.53,1,7,I-II,0.0242
Abell 2002,175.87,51.19,1,3,II,0.0680
Abell 2003,292.07,51.58,0,5,I-II,
Abell 2004,216.24,33.52,2,5,I,0.0674
Abell 2005,141.00,44.08,1,5,II-III,0.0913
Abell 2006,134.40,75.54,0,6,I,0.2169
Abell 2007,260.56,-12.80,3,5,,0.0129
Abell 2008,268.52,-11.64,4,6,I,0.0132
Abell 2009,106.51,84.06,1,3,,
Abell 2010,326.14,34.32,2,3,I,
Abell 2011,73.48,29.48,1,5,,0.1093
Abell 2012,155.66,10.90,2,4,I-II,0.2857
Abell 2013,228.35,43.62,1,5,II,0.0495
Abell 2014,122.95,36.66,2,6,II,0.0934
Abell 2015,68.29,46.59,0,4,III,
Abell 2016,353.89,83.51,2,7,I-II,0.1494
Abell 2017,253.34,-6.36,0,5,,0.2619
Abell 2018,143.73,46.43,3,3,III,
Abell 2019,264.11,20.76,1,6,II-III,0.1278
Abell 2020,126.44,-7.83,0,6,II,0.0257
Abell 2021,163.13,-4.37,1,3,II-III,0.1294
Abell 2022,226.00,28.64,0,5,III,0.0578
Abell 2023,6.33,-5.24,3,6,III,0.1411
Abell 2024,274.03,81.89,0,3,II-III,0.1648
Abell 2025,14.63,19.57,2,5,II,0.2484
Abell 2026,339.20,84.23,1,,II-III,0.3267
Abell 2027,305.55,72.40,0,2,III,
Abell 2028,189.48,5.00,4,4,III,0.0773
Abell 2029,227.73,5.74,2,4,I,0.0773
Abell 2030,252.89,36.67,3,4,II,
Abell 2031,329.73,10.89,0,6,I,
Abell 2032,16.25,77.33,2,3,I-II,
Abell 2033,181.72,39.92,2,7,I-II,0.3231
Abell 2034,123.52,37.56,1,4,,0.0759
Abell 2035,130.90,18.37,2,6,I-II,0.2479
Abell 2036,144.36,11.90,2,4,I-II,0.1859
Abell 2037,298.67,-17.79,0,7,I,0.1501
Abell 2038,257.46,13.37,1,5,,0.3338
Abell 2039,160.40,43.57,1,5,I-II,0.2023
Abell 2040,228.20,7.43,0,4,III,0.0456
Abell 2041,31.28,84.76,0,4,II,0.0693
Abell 2042,180.34,-23.92,2,5,III,0.0930
Abell 2043,16.78,31.84,0,6,I,
Abell 2044,0.69,16.43,0,6,II-III,0.2501
Abell 2045,144.91,-15.21,0,4,I-II,0.2460
Abell 2046,304.58,-19.49,1,4,III,0.0711
Abell 2047,189.89,11.25,0,2,I,0.0401
Abell 2048,60.08,29.01,1,6,III,
Abell 2049,261.93,-24.82,3,2,I,0.0466
Abell 2050,311.49,82.05,1,4,I,0.3270
Abell 2051,75.90,85.07,2,6,I-II,0.2508
Abell 2052,229.18,7.02,1,3,I,0.0348
Abell 2053,13.69,52.38,1,4,II-III,0.2861
Abell 2054,264.48,4.04,2,2,III,0.0119
Abell 2055,210.67,28.00,0,5,II-III,0.0356
Abell 2056,120.24,16.43,1,5,II-III,0.0356
Abell 2057,130.05,87.62,0,6,III,0.1084
Abell 2058,122.99,6.12,1,,II,0.1087
Abell 2059,296.07,65.81,0,4,II,0.2465
Abell 2060,123.90,48.05,1,5,,0.3488
Abell 2061,332.79,86.34,0,5,II,0.3035
Abell 2062,205.70,24.00,0,4,II-III,
Abell 2063,230.77,8.61,1,3,II-III,0.0354
Abell 2064,5.36,0.58,0,4,,0.1668
Abell 2065,230.62,27.71,2,4,III,0.0726
Abell 2066,9.25,35.60,0,6,II-III,0.0140
Abell 2067,272.14,78.99,2,7,I,0.2942
Abell 2068,208.38,58.30,2,4,II,0.2245
Abell 2069,88.58,56.15,2,5,,0.1335
Abell 2070,140.05,44.97,0,6,III,0.1891
Abell 2071,168.99,-8.72,0,3,II-III,
Abell 2072,288.37,60.93,5,5,,0.2522
Abell 2073,187.28,-20.13,2,6,I-II,
Abell 2074,39.70,-11.04,2,,II-III,0.2009
Abell 2075,228.46,50.77,1,5,,
Abell 2076,205.41,30.43,1,2,I-II,0.2880
Abell 2077,173.07,5.67,1,4,I-II,0.1814
Abell 2078,130.21,5.14,0,5,II-III,0.1059
Abell 2079,313.48,86.59,3,5,II,0.0609
Abell 2080,90.31,-7.60,1,4,,
Abell 2081,79.39,10.66,3,4,I-II,0.2055
Abell 2082,351.78,7.51,0,6,,0.1004
Abell 2083,354.52,45.54,1,7,III,0.0352
Abell 2084,344.92,53.00,0,4,,0.0504
Abell 2085,99.90,-7.59,2,5,II-III,0.0937
Abell 2086,232.48,58.69,2,5,III,0.2209
Abell 2087,128.11,11.35,0,4,I-II,0.0597
Abell 2088,243.07,57.63,0,,III,0.0585
Abell 2089,113.95,34.37,0,5,II-III,0.2260
Abell 2090,325.81,37.09,2,,III,0.2346
Abell 2091,247.17,2.40,1,7,II,0.1790
Abell 2092,252.81,41.47,1,5,III,0.1540
Abell 2093,12.12,-3.39,0,4,,0.2113
Abell 2094,113.23,-1.93,0,5,,0.1955
Abell 2095,149.62,-17.54,0,5,I-II,0.0246
Abell 2096,116.63,-19.71,1,4,I,
Abell 2097,184.04,-19.68,0,4,II,0.3002
Abell 2098,55.87,11.53,2,1,II,0.2064
Abell 2099,155.97,11.62,2,5,II-III,
Abell 2100,344.11,32.64,0,2,II,0.1938
Abell 2101,101.13,-26.31,2,6,II-III,0.3421
Abell 2102,269.30,19.32,0,7,II,0.2278
Abell 2103,191.97,13.59,0,6,I,0.2288
Abell 2104,220.58,-2.80,3,6,,0.2374
Abell 2105,180.17,32.17,1,2,I,0.0985
Abell 2106,10.18,80.07,0,5,II,0.2919
Abell 2107,234.91,21.78,1,4,I,0.0411
Abell 2108,180.01,1.22,1,6,I,0.1658
Abell 2109,357.98,1.87,1,6,II-III,0.1322
Abell 2110,35.00,42.22,1,5,II-III,0.1940
Abell 2111,189.46,29.99,0,6,III,0.2483
Abell 2112,132.20,30.26,0,4,II-III,0.2582
Abell 2113,321.36,27.00,0,1,I-II,0.0287
Abell 2114,302.72,56.85,1,2,I-II,0.0149
Abell 2115,315.05,-15.93,1,6,II-III,0.0119
Abell 2116,274.41,-6.01,0,4,I,0.0124
Abell 2117,125.20,56.66,3,7,II,0.1201
Abell 2118,250.09,77.14,5,3,II,0.1541
Abell 2119,90.13,62.98,2,6,II-III,0.2671
Abell 2120,301.97,4.81,0,6,II,
Abell 2121,248.07,36.17,0,5,II,0.0323
Abell 2122,200.25,-10.85,0,5,II-III,0.0588
Abell 2123,12.04,30.16,0,5,III,0.2265
Abell 2124,236.25,36.06,1,3,I,0.0654
Abell 2125,88.02,-17.14,0,6,I,0.0806
Abell 2126,292.82,48.43,2,5,II,0.2263
Abell 2127,223.71,55.98,1,5,I,0.2741
Abell 2128,25.89,5.76,2,5,III,0.2267
Abell 2129,201.92,65.92,0,6,I,0.1349
Abell 2130,146.92,-10.42,1,7,III,0.1902
Abell 2131,321.96,42.86,0,,I-II,0.2566
Abell 2132,347.09,73.90,2,4,III,0.2309
Abell 2133,160.85,-5.91,1,4,II-III,0.0786
Abell 2134,119.25,-4.92,0,,III,0.0239
Abell 2135,306.66,61.92,0,6,,0.0215
Abell 2136,180.82,-14.22,3,4,,0.1433
Abell 2137,316.81,70.80,1,4,I-II,0.0288
Abell 2138,44.82,17.73,1,2,III,0.0624
Abell 2139,202.26,87.73,1,5,II-III,0.1543
Abell 2140,15.60,83.84,1,4,I-II,0.0908
Abell 2141,36.99,-23.57,2,2,I-II,0.1308
Abell 2142,239.58,27.23,2,4,II,0.0909
Abell 2143,30.97,50.20,0,7,I-II,0.0237
Abell 2144,123.24,84.06,1,6,III,0.2632
Abell 2145,175.14,30.10,0,4,I,0.3491
Abell 2146,14.87,86.48,2,5,III,0.0436
Abell 2147,240.57,15.97,1,3,II-III,0.0351
Abell 2148,141.00,-24.49,2,7,III,0.0799
Abell 2149,300.22,-14.08,1,4,III,0.3432
Abell 2150,131.32,38.08,3,6,I-II,0.2648
Abell 2151,241.15,17.75,1,2,III,0.0369
Abell 2152,241.35,16.44,1,4,III,0.0370
Abell 2153,174.30,32.97,0,4,II,0.0700
Abell 2154,305.45,-19.50,2,6,I,0.1970
Abell 2155,240.66,34.81,0,,I-II,0.1068
Abell 2156,278.09,81.03,0,,I-II,0.1859
Abell 2157,354.60,40.34,2,2,I,0.3498
Abell 2158,88.38,49.05,0,3,I-II,0.3323
Abell 2159,189.26,85.45,0,4,III,
Abell 2160,145.92,78.21,1,3,I-II,0.3074
Abell 2161,220.93,17.82,0,6,I,0.2587
Abell 2162,24.60,57.63,0,1,II-III,0.2628
Abell 2163,311.52,-25.11,1,5,III,0.0834
Abell 2164,317.07,-11.94,0,5,I-II,0.2943
Abell 2165,194.28,33.55,3,5,I,0.3349
Abell 2166,67.53,-9.69,1,,,0.0876
Abell 2167,230.77,52.21,0,4,II,0.0913
Abell 2168,203.67,35.45,1,3,I-II,
Abell 2169,258.01,77.90,1,4,II-III,0.2266
Abell 2170,339.26,3.28,1,4,I,0.1689
Abell 2171,324.17,70.39,0,4,III,0.0152
Abell 2172,196.13,23.03,2,6,I,0.1164
Abell 2173,288.04,53.85,1,6,I,
Abell 2174,135.38,-4.64,0,5,II-III,0.2754
Abell 2175,359.48,61.22,4,7,II,
Abell 2176,259.47,-10.93,0,4,III,
Abell 2177,55.47,22.89,0,6,II,0.0952
Abell 2178,22.74,23.33,0,6,III,0.2027
Abell 2179,328.83,78.08,1,4,I,0.2601
Abell 2180,132.26,-7.71,2,6,II,0.1416
Abell 2181,41.05,12.22,2,6,III,0.0360
